id,category_id,description
restaurant_management.fault_1,Продукт,"1.1    Блюда готовятся по технологическим картам, технология приготовления соблюдена, используются в работе весы."
restaurant_management.fault_2,Продукт,1.2 Внешний вид блюда в ресторане соответствует изображению в меню.
restaurant_management.fault_3,Продукт,1.3 Вес блюда соответствует заявленному в меню.
restaurant_management.fault_4,Продукт,1.4  Время выдачи блюда соответствует заявленным стандартам.
restaurant_management.fault_5,Продукт,"1.5  Качество сырья и п/ф соответствует нормам - внешний вид, цвет, запах, нарезка."
restaurant_management.fault_6,Продукт,1.6    Просроченные товары отсутствуют.
restaurant_management.fault_7,Продукт,"1.7   Условия хранение сырья и п/ф (порядок в холодильнике, товарное соседство, температура хранения)."
restaurant_management.fault_8,Продукт,1.8    Соблюдение принцип Фи-Фо.
restaurant_management.fault_9,Продукт,1.9    Бланки сроков годности/минимальных заготовок заполнены.
restaurant_management.fault_10,Продукт,1.10    Наличие полного ассортимента сырья и п/ф.
restaurant_management.fault_11,Продукт,"1.11    Работа на опережения (заготовки в полном объёме, внешний вид соответствует) "
restaurant_management.fault_12,Продукт,"1.12    Продукция Gustland - сроки годности соответствуют нормам, отсутствует просроченная продукция, упаковка продукции Gustland целая, неповрежденная."
restaurant_management.fault_13,Продукт,"1.13    Повара соблюдают санитарные нормы, трудовую дисциплину. Внешний вид поваров и их гигиена соответствует стандартам. Маркировочный инвентарь используется надлежащим образом."
restaurant_management.fault_14,Продукт,"1.14    Чистота на кухне (полы, стены, раковины без повреждений/чистые, производственные помещения, посудомоечная, складские помещения; холодильные и морозильные камеры) без повреждений."
restaurant_management.fault_15,Продукт,"1.15   Тепловое и холодильное оборудование работает исправно/чистые/ эксплуатация оборудование (печи, фритюр, frytop, весы, блинница)."
restaurant_management.fault_16,Продукт,1.16          Надлежащее использование и исправность оборудование и инвентаря.  
restaurant_management.fault_17,Бар и десертный бар,"2.1  Десерты, напитки готовятся по технологическим картам, технология приготовления соблюдена, используются в работе весы."
restaurant_management.fault_18,Бар и десертный бар,2.2  Внешний вид напитка и десерта в ресторане/упаковке на доставку соответствует изображению в меню.
restaurant_management.fault_19,Бар и десертный бар,2.3  Вес десерта/напитка соответствует заявленному в меню.
restaurant_management.fault_20,Бар и десертный бар,2.4  Время выдачи десерта/напитка соответствует заявленным стандартам.
restaurant_management.fault_21,Бар и десертный бар,"2.5  Качество сырья и п/ф соответствует нормам - внешний вид, цвет, запах, нарезка."
